[2026-08-16 00:09:53.673 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-16 00:09:53.674 (UTC+0800)] [32minfo/server[0m	AccessControl: Anonymous login is enabled
[2026-08-16 00:09:53.674 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-16 00:09:53.712 (UTC+0800)] [33mwarn/application[0m	ServerUrls already set. Overriding.
[2026-08-16 00:09:53.713 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-16 00:09:53.713 (UTC+0800)] [32minfo/server[0m	AccessControl: Anonymous login is enabled
[2026-08-16 00:09:53.713 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-16 00:09:53.713 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-15 16:09:53.713 (UTC)] info/application	Sensor Server online (Client/Server mode, id=3 port=4844) | Severity=75 | SourceName=Sensor3 | EventType=application
Entering background polling mode: attempting to connect to Aggregation Server...
Connected successfully. Log forwarding started.
[2026-08-15 16:09:54.715 (UTC)] info/application	[Sensor] Updated distance: 6.2379024942582015 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:09:55.687 (UTC)] info/network	[System] TCP 16	| Connection opened from "127.0.0.1" via the server socket 8 | Severity=75 | SourceName=System | EventType=network
[2026-08-15 16:09:55.687 (UTC)] info/channel	[System] TCP 16	| SC 1	| SecureChannel created | Severity=75 | SourceName=System | EventType=channel
[2026-08-15 16:09:56.797 (UTC)] info/application	[Sensor] Updated distance: 21.530963876997568 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:09:56.818 (UTC)] info/channel	[System] TCP 16	| SC 1	| OpenSecureChannel: Channel opened with SecurityMode None for SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None and a revised lifetime of 600.0s | Severity=75 | SourceName=System | EventType=channel
[2026-08-15 16:09:56.838 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-15 16:09:56.838 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-15 16:09:56.849 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
