[2026-08-16 01:08:56.558 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-16 01:08:56.558 (UTC+0800)] [32minfo/server[0m	AccessControl: Anonymous login is enabled
[2026-08-16 01:08:56.559 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-16 01:08:56.594 (UTC+0800)] [33mwarn/application[0m	ServerUrls already set. Overriding.
[2026-08-16 01:08:56.594 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-16 01:08:56.594 (UTC+0800)] [32minfo/server[0m	AccessControl: Anonymous login is enabled
[2026-08-16 01:08:56.594 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-16 01:08:56.594 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-15 17:08:56.594 (UTC)] info/application	Sensor Server online (Client/Server mode, id=3 port=4844) | Severity=75 | SourceName=Sensor3 | EventType=application
Entering background polling mode: attempting to connect to Aggregation Server...
Connected successfully. Log forwarding started.
[2026-08-15 17:08:57.597 (UTC)] info/application	[Sensor] Updated distance: 17.57766861448887 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:08:58.568 (UTC)] info/network	[System] TCP 16	| Connection opened from "127.0.0.1" via the server socket 8 | Severity=75 | SourceName=System | EventType=network
[2026-08-15 17:08:58.568 (UTC)] info/channel	[System] TCP 16	| SC 1	| SecureChannel created | Severity=75 | SourceName=System | EventType=channel
[2026-08-15 17:08:59.681 (UTC)] info/application	[Sensor] Updated distance: 22.67921795913913 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:08:59.701 (UTC)] info/channel	[System] TCP 16	| SC 1	| OpenSecureChannel: Channel opened with SecurityMode None for SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None and a revised lifetime of 600.0s | Severity=75 | SourceName=System | EventType=channel
[2026-08-15 17:08:59.722 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-15 17:08:59.722 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-15 17:08:59.732 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-15 17:08:59.732 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-15 17:08:59.733 (UTC)] info/session	[System] TCP 16	| SC 1	| Session "ns=1;g=7e2d9af6-1a0e-1b39-1351-0580d45d75d7"	| Session created | Severity=75 | SourceName=System | EventType=session
