[2026-08-17 04:18:11.215 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-17 04:18:11.216 (UTC+0800)] [32minfo/server[0m	AccessControl: Anonymous login is enabled
[2026-08-17 04:18:11.216 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-17 04:18:11.250 (UTC+0800)] [33mwarn/application[0m	ServerUrls already set. Overriding.
[2026-08-17 04:18:11.251 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-17 04:18:11.251 (UTC+0800)] [32minfo/server[0m	AccessControl: Anonymous login is enabled
[2026-08-17 04:18:11.251 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-17 04:18:11.251 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-16 20:18:11.251 (UTC)] info/application	Sensor Server online (Client/Server mode, id=2 port=4843) | Severity=75 | SourceName=Sensor2 | EventType=application
Entering background polling mode: attempting to connect to Aggregation Server...
Connected successfully. Log forwarding started.
[2026-08-16 20:18:12.257 (UTC)] info/application	[Sensor] Updated distance: 26.6936187158309 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:13.227 (UTC)] info/network	[System] TCP 16	| Connection opened from "127.0.0.1" via the server socket 8 | Severity=75 | SourceName=System | EventType=network
[2026-08-16 20:18:13.227 (UTC)] info/channel	[System] TCP 16	| SC 1	| SecureChannel created | Severity=75 | SourceName=System | EventType=channel
[2026-08-16 20:18:13.248 (UTC)] info/channel	[System] TCP 16	| SC 1	| OpenSecureChannel: Channel opened with SecurityMode None for SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None and a revised lifetime of 600.0s | Severity=75 | SourceName=System | EventType=channel
[2026-08-16 20:18:13.258 (UTC)] info/application	[Sensor] Updated distance: 25.2223253428109 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:13.268 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-16 20:18:13.268 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-16 20:18:13.279 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-16 20:18:13.279 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-16 20:18:13.280 (UTC)] info/session	[System] TCP 16	| SC 1	| Session "ns=1;g=162e4f10-c74c-2544-62a6-6ab697c95ca5"	| Session created | Severity=75 | SourceName=System | EventType=session
[2026-08-16 20:18:13.290 (UTC)] info/session	[System] TCP 16	| SC 1	| Session "ns=1;g=162e4f10-c74c-2544-62a6-6ab697c95ca5"	| ActivateSession: Session activated with ClientUserId "" | Severity=75 | SourceName=System | EventType=session
[2026-08-16 20:18:13.675 (UTC)] info/session	[System] TCP 16	| SC 1	| Session "ns=1;g=162e4f10-c74c-2544-62a6-6ab697c95ca5"	| Subscription 1 | Subscription created (Publishing interval 500.0ms, max 1000 notifications per publish) | Severity=75 | SourceName=System | EventType=session
