[2026-08-17 04:34:17.445 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-17 04:34:17.445 (UTC+0800)] [32minfo/server[0m	AccessControl: Anonymous login is enabled
[2026-08-17 04:34:17.446 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-17 04:34:17.481 (UTC+0800)] [33mwarn/application[0m	ServerUrls already set. Overriding.
[2026-08-17 04:34:17.481 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-17 04:34:17.481 (UTC+0800)] [32minfo/server[0m	AccessControl: Anonymous login is enabled
[2026-08-17 04:34:17.481 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-17 04:34:17.481 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-16 20:34:17.481 (UTC)] info/application	Sensor Server online (Client/Server mode, id=3 port=4844) | Severity=75 | SourceName=Sensor3 | EventType=application
Entering background polling mode: attempting to connect to Aggregation Server...
Connected successfully. Log forwarding started.
[2026-08-16 20:34:18.483 (UTC)] info/application	[Sensor] Updated distance: 25.8011591068009 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:19.453 (UTC)] info/network	[System] TCP 16	| Connection opened from "127.0.0.1" via the server socket 8 | Severity=75 | SourceName=System | EventType=network
[2026-08-16 20:34:19.453 (UTC)] info/channel	[System] TCP 16	| SC 1	| SecureChannel created | Severity=75 | SourceName=System | EventType=channel
[2026-08-16 20:34:19.473 (UTC)] info/channel	[System] TCP 16	| SC 1	| OpenSecureChannel: Channel opened with SecurityMode None for SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None and a revised lifetime of 600.0s | Severity=75 | SourceName=System | EventType=channel
[2026-08-16 20:34:19.483 (UTC)] info/application	[Sensor] Updated distance: 24.8611933662841 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:19.494 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-16 20:34:19.494 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-16 20:34:19.504 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
