[2026-08-11 23:36:06.031 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-11 23:36:06.032 (UTC+0800)] [32minfo/server[0m	AccessControl: Anonymous login is enabled
[2026-08-11 23:36:06.032 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-11 23:36:06.069 (UTC+0800)] [33mwarn/application[0m	ServerUrls already set. Overriding.
[2026-08-11 23:36:06.069 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-11 23:36:06.069 (UTC+0800)] [32minfo/server[0m	AccessControl: Anonymous login is enabled
[2026-08-11 23:36:06.069 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-11 23:36:06.069 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-11 15:36:06.069 (UTC)] info/application	Sensor Server online (Client/Server mode, id=3 port=4844) | Severity=75 | SourceName=Sensor3 | EventType=application
Entering background polling mode: attempting to connect to Aggregation Server...
Connected successfully. Log forwarding started.
[2026-08-11 15:36:07.071 (UTC)] info/application	[Sensor] Updated distance: 31.872890195750113 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:08.042 (UTC)] info/network	[System] TCP 16	| Connection opened from "127.0.0.1" via the server socket 8 | Severity=75 | SourceName=System | EventType=network
[2026-08-11 15:36:08.042 (UTC)] info/channel	[System] TCP 16	| SC 1	| SecureChannel created | Severity=75 | SourceName=System | EventType=channel
[2026-08-11 15:36:08.062 (UTC)] info/channel	[System] TCP 16	| SC 1	| OpenSecureChannel: Channel opened with SecurityMode None for SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None and a revised lifetime of 600.0s | Severity=75 | SourceName=System | EventType=channel
[2026-08-11 15:36:08.072 (UTC)] info/application	[Sensor] Updated distance: 8.311559568304364 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:08.083 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-11 15:36:08.083 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-11 15:36:08.093 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-11 15:36:08.093 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-11 15:36:08.094 (UTC)] info/session	[System] TCP 16	| SC 1	| Session "ns=1;g=235f1f32-e013-04c6-8f48-5445dd3da3aa"	| Session created | Severity=75 | SourceName=System | EventType=session
[2026-08-11 15:36:08.104 (UTC)] info/session	[System] TCP 16	| SC 1	| Session "ns=1;g=235f1f32-e013-04c6-8f48-5445dd3da3aa"	| ActivateSession: Session activated with ClientUserId "" | Severity=75 | SourceName=System | EventType=session
[2026-08-11 15:36:08.490 (UTC)] info/session	[System] TCP 16	| SC 1	| Session "ns=1;g=235f1f32-e013-04c6-8f48-5445dd3da3aa"	| Subscription 1 | Subscription created (Publishing interval 500.0ms, max 1000 notifications per publish) | Severity=75 | SourceName=System | EventType=session
[2026-08-11 15:36:08.500 (UTC)] info/session	[System] TCP 16	| SC 1	| Session "ns=1;g=235f1f32-e013-04c6-8f48-5445dd3da3aa"	| Subscription 1 | MonitoredItem 1 | Created the MonitoredItem (Sampling Interval: 250.0ms, Queue Size: 1) | Severity=75 | SourceName=System | EventType=session
[2026-08-11 15:36:09.077 (UTC)] info/application	[Sensor] Updated distance: 48.19837743705063 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:10.070 (UTC)] info/application	[Sensor] Updated distance: 6.761661025118856 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:11.152 (UTC)] info/application	[Sensor] Updated distance: 10.473312322270736 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:12.074 (UTC)] info/application	[Sensor] Updated distance: 17.83643573514951 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:13.074 (UTC)] info/application	[Sensor] Updated distance: 44.63979647804042 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:14.075 (UTC)] info/application	[Sensor] Updated distance: 2.8833251227081407 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:15.075 (UTC)] info/application	[Sensor] Updated distance: 7.571030760915498 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:16.076 (UTC)] info/application	[Sensor] Updated distance: 3.1486282055958306 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:17.076 (UTC)] info/application	[Sensor] Updated distance: 37.773789325623675 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:18.077 (UTC)] info/application	[Sensor] Updated distance: 2.4749236854142156 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:19.078 (UTC)] info/application	[Sensor] Updated distance: 20.3072961803094 cm | Severity=75 | SourceName=Sensor3 | EventType=application
